###### [1/10] of a280[1/48]
2023-06-14 14:08:00 --> opt: 2579
2023-06-14 14:08:01 -*- 2941
2023-06-14 14:08:01 --> org-christofides: 2941
2023-06-14 14:08:01 -*- 2940
2023-06-14 14:08:02 -*- 2930
2023-06-14 14:08:02 -*- 2916
2023-06-14 14:08:02 -*- 2910
2023-06-14 14:08:03 -*- 2898
2023-06-14 14:08:04 -*- 2888
2023-06-14 14:08:04 -*- 2884
2023-06-14 14:08:04 -*- 2875
2023-06-14 14:08:05 -*- 2863
2023-06-14 14:08:05 -*- 2862
2023-06-14 14:08:05 -*- 2852
2023-06-14 14:08:08 -*- 2842
2023-06-14 14:08:10 -*- 2840
2023-06-14 14:08:11 -*- 2837
2023-06-14 14:08:12 -*- 2834
2023-06-14 14:08:14 -*- 2831
2023-06-14 14:08:14 -*- 2822
2023-06-14 14:08:14 -*- 2819
2023-06-14 14:08:14 -*- 2816
2023-06-14 14:08:17 -*- 2813
2023-06-14 14:08:17 -*- 2811
2023-06-14 14:08:18 -*- 2796
2023-06-14 14:08:19 -*- 2795
2023-06-14 14:08:20 -*- 2794
2023-06-14 14:08:20 -*- 2793
2023-06-14 14:08:22 -*- 2790
2023-06-14 14:08:23 -*- 2783
2023-06-14 14:08:24 -*- 2773
2023-06-14 14:08:26 -*- 2772
2023-06-14 14:08:27 -*- 2768
2023-06-14 14:08:39 -*- 2765
2023-06-14 14:08:39 -*- 2764
2023-06-14 14:08:43 -*- 2757
2023-06-14 14:08:46 -*- 2753
2023-06-14 14:08:49 -*- 2747
2023-06-14 14:08:50 -*- 2737
2023-06-14 14:08:51 -*- 2733
2023-06-14 14:08:51 -*- 2728
2023-06-14 14:08:59 -*- 2726
2023-06-14 14:09:10 -*- 2722
2023-06-14 14:09:24 -*- 2709
2023-06-14 14:09:30 -*- 2703
2023-06-14 14:09:41 -*- 2693
2023-06-14 14:10:21 -*- 2691
2023-06-14 14:10:54 -*- 2689
2023-06-14 14:11:04 -*- 2688
2023-06-14 14:18:01 --> opt-stimulated_annealing: 2688
###### [2/10] of a280[1/48]
2023-06-14 14:18:01 --> opt: 2579
2023-06-14 14:18:02 -*- 2941
2023-06-14 14:18:02 --> org-christofides: 2941
2023-06-14 14:18:02 -*- 2933
2023-06-14 14:18:02 -*- 2923
2023-06-14 14:18:02 -*- 2922
2023-06-14 14:18:02 -*- 2916
2023-06-14 14:18:03 -*- 2911
2023-06-14 14:18:04 -*- 2909
2023-06-14 14:18:04 -*- 2899
2023-06-14 14:18:05 -*- 2897
2023-06-14 14:18:05 -*- 2896
2023-06-14 14:18:05 -*- 2885
2023-06-14 14:18:06 -*- 2876
